city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Huazhou,32.6880,112.0870,China,CN,Henan,minor,1468061,1468061
Jinhua,29.0790,119.6470,China,CN,Zhejiang,minor,1463990,1463990
Pizhou,34.3980,117.8900,China,CN,Jiangsu,,1458038,1458038
Yangshe,31.8767,120.5560,China,CN,Jiangsu,minor,1447600,1447600
Rui’an,27.7833,120.6250,China,CN,Zhejiang,,1424667,1424667
Wenling,28.3667,121.3667,China,CN,Zhejiang,,1416199,1416199
Gaozhou,21.9244,110.8422,China,CN,Guangdong,minor,1414100,1414100
Fuqing,25.7167,119.3833,China,CN,Fujian,minor,1390487,1390487
Wuzhong,37.9978,106.1986,China,CN,Ningxia,minor,1382713,1382713
Pingdu,36.7769,119.9884,China,CN,Shandong,,1378900,1378900
Yangquan,37.8571,113.5804,China,CN,Shanxi,minor,1368502,1368502
Yutan,28.2780,112.5520,China,CN,Hunan,minor,1368117,1368117
Chizhou,30.6654,117.4916,China,CN,Anhui,minor,1342764,1342764
Liangshi,27.2600,111.7442,China,CN,Hunan,,1335900,1335900
Huangshan,29.7149,118.3376,China,CN,Anhui,minor,1330565,1330565
Benxi,41.4868,123.6850,China,CN,Liaoning,,1326018,1326018
Xintai,35.9090,117.7680,China,CN,Shandong,,1315942,1315942
Wusong,30.9333,117.7667,China,CN,Anhui,minor,1311726,1311726
Yushu,44.8260,126.5500,China,CN,Jilin,minor,1304436,1304436
Kuaidamao,41.7283,125.9397,China,CN,Jilin,minor,1302778,1302778
Huazhou,21.6640,110.6396,China,CN,Guangdong,,1302100,1302100
Baishan,41.9440,126.4147,China,CN,Jilin,minor,1296127,1296127
Haicheng,40.8824,122.6852,China,CN,Liaoning,minor,1293877,1293877
Yicheng,31.3600,119.8150,China,CN,Jiangsu,minor,1285785,1285785
Rucheng,32.2460,120.5910,China,CN,Jiangsu,minor,1267066,1267066
Huaiyin,33.5819,119.0280,China,CN,Jiangsu,,1264000,1264000
Dayan,26.8552,100.2259,China,CN,Yunnan,,1253878,1253878
Shaoyang,32.9120,119.8526,China,CN,Jiangsu,minor,1253548,1253548
Laiwu,36.1833,117.6667,China,CN,Shandong,,1248636,1248636
Jingling,30.6640,113.1670,China,CN,Hubei,,1247400,1247400
Yongcheng,33.9299,116.4500,China,CN,Henan,,1240382,1240382
Yiwu,29.3069,120.0753,China,CN,Zhejiang,minor,1234015,1234015
Beidao,34.6020,105.9180,China,CN,Gansu,minor,1225000,1225000
Xiangshui,26.5964,104.8314,China,CN,Guizhou,,1221000,1221000
Dadukou,26.5824,101.7184,China,CN,Sichuan,minor,1214121,1214121
Lingcheng,22.7000,110.3500,China,CN,Guangxi,,1211637,1211637
Shuangyashan,46.6762,131.1416,China,CN,Heilongjiang,minor,1208803,1208803
Xinyu,27.8186,114.9167,China,CN,Jiangxi,minor,1202499,1202499
Zhangye,38.9248,100.4499,China,CN,Gansu,minor,1199515,1199515
Rongcheng,26.2180,104.1030,China,CN,Yunnan,,1189813,1189813
Liaoyuan,42.8880,125.1447,China,CN,Jilin,minor,1176239,1176239
Guankou,28.1637,113.6433,China,CN,Hunan,minor,1168056,1168056
Lianyuan,27.6920,111.6640,China,CN,Hunan,minor,1162928,1162928
Rongcheng,29.8402,112.9048,China,CN,Hubei,minor,1162770,1162770
Kaiyuan,36.0193,113.8600,China,CN,Henan,minor,1160000,1160000
Zhuji,29.7167,120.2333,China,CN,Zhejiang,minor,1157938,1157938
Yingtan,28.2721,117.0395,China,CN,Jiangxi,,1154223,1154223
Leiyang,26.4223,112.8598,China,CN,Hunan,minor,1151554,1151554
Yichun,47.7280,128.8410,China,CN,Heilongjiang,minor,1148126,1148126
Guyuan,36.0100,106.2570,China,CN,Ningxia,,1142142,1142142
Xiantao,30.3280,113.4430,China,CN,Hubei,,1140100,1140100
Yingchuan,34.1511,113.4733,China,CN,Henan,minor,1131896,1131896
Dongtai,32.7950,120.5190,China,CN,Jiangsu,minor,1098100,1098100
Dingzhou,38.5160,114.9900,China,CN,Hebei,minor,1095986,1095986
Xibeijie,39.7334,98.4943,China,CN,Gansu,minor,1095947,1095947
Yuyao,30.0500,121.1500,China,CN,Zhejiang,,1095000,1095000
Hanchuan,30.6520,113.8274,China,CN,Hubei,,1092700,1092700
Gongzhuling,43.5053,124.8224,China,CN,Jilin,minor,1092692,1092692
Zhufeng,36.0000,119.4167,China,CN,Shandong,,1081960,1081960
Ezhou,30.3914,114.8949,China,CN,Hubei,minor,1079353,1079353
Xiashi,30.5333,120.6833,China,CN,Zhejiang,minor,1076199,1076199
Zhongwei,37.5002,105.1968,China,CN,Ningxia,minor,1067336,1067336
Mizhou,35.9900,119.3801,China,CN,Shandong,minor,1060000,1060000
Xishan,27.6461,113.4970,China,CN,Hunan,minor,1060000,1060000
Hegang,47.3501,130.2980,China,CN,Heilongjiang,minor,1058665,1058665
Fangchenggang,21.6867,108.3547,China,CN,Guangxi,minor,1046068,1046068
Jiancheng,30.3931,104.5465,China,CN,Sichuan,minor,1045900,1045900
Shouguang,36.8570,118.7910,China,CN,Shandong,,1039205,1039205
Sanya,18.2533,109.5036,China,CN,Hainan,minor,1031396,1031396
Wutong,30.6333,120.5333,China,CN,Zhejiang,minor,1029754,1029754
Linhai,28.8500,121.1167,China,CN,Zhejiang,,1028813,1028813
Wafangdian,39.6271,121.9796,China,CN,Liaoning,,1024876,1024876
Zhongxiang,31.1690,112.5853,China,CN,Hubei,,1022514,1022514
Xinyi,22.3549,110.9468,China,CN,Guangdong,,1013900,1013900
Zaoyang,32.1290,112.7720,China,CN,Hubei,,1004741,1004741
Xingyi,25.0920,104.8955,China,CN,Guizhou,,1004132,1004132
Shuizhai,33.4433,114.8994,China,CN,Henan,,1003698,1003698
Zhangjiakou Shi Xuanhua Qu,40.5944,115.0243,China,CN,Hebei,minor,409745,409745
Lianhu,34.2585,108.9242,China,CN,Shaanxi,minor,,
Binhu,32.0301,118.7577,China,CN,Jiangsu,minor,,
Hongkou,31.2500,121.4892,China,CN,Shanghai,minor,,
Wulaocun,32.0344,118.7958,China,CN,Jiangsu,minor,,
Changning,31.2174,121.4211,China,CN,Shanghai,minor,,
Xixiangtang,22.8376,108.3116,China,CN,Guangxi,minor,,
Dayingmen,39.1073,117.2096,China,CN,Tianjin,minor,,
Wuma,28.0173,120.6659,China,CN,Zhejiang,minor,,
Yanping,26.6381,118.1682,China,CN,Fujian,minor,,
Chaowai,39.9181,116.4324,China,CN,Beijing,minor,,
Liuxiang,37.8714,112.5605,China,CN,Shanxi,minor,,
Changhongjie,39.1373,117.1475,China,CN,Tianjin,minor,,
Yangpu,31.2619,121.5190,China,CN,Shanghai,minor,,
Zhangyelu,36.0575,103.8227,China,CN,Gansu,minor,,
Jinrongjie,39.9122,116.3562,China,CN,Beijing,minor,,
Huancuilou,37.5004,122.1140,China,CN,Shandong,minor,,
Weiyang,34.2906,108.9355,China,CN,Shaanxi,minor,,
Meiyuan Xincun,32.0542,118.7928,China,CN,Jiangsu,minor,,
Dongtundu,28.1837,113.0321,China,CN,Hunan,minor,,
Sanjiang,31.3481,118.3613,China,CN,Anhui,minor,,
Dongjie,26.0882,119.2945,China,CN,Fujian,minor,,
Haidian,39.9906,116.2887,China,CN,Beijing,minor,,
Nanchansi,31.5624,120.3002,China,CN,Jiangsu,minor,,
Xinluoqu,25.1022,117.0303,China,CN,Fujian,minor,,
Daoli,45.7559,126.6034,China,CN,Heilongjiang,minor,,
Gulou,40.3700,116.8335,China,CN,Beijing,minor,,
Xuhui,31.1959,121.4471,China,CN,Shanghai,minor,,
Xihu,36.0673,103.7765,China,CN,Gansu,minor,,
Xiaobailou,39.1177,117.2056,China,CN,Tianjin,minor,,
Nangang,45.7549,126.6456,China,CN,Heilongjiang,minor,,
Pingjianglu,31.3147,120.6298,China,CN,Jiangsu,minor,,
Chong’ansi,31.5799,120.2952,China,CN,Jiangsu,minor,,
Xincheng,34.2632,108.9495,China,CN,Shaanxi,minor,,
Luwan,31.2091,121.4634,China,CN,Shanghai,minor,,
Chengzhong,24.3152,109.4127,China,CN,Guangxi,minor,,
